ERROR,STD_SMILES
CCCCCCC=O)ccccF)cc6)))))))NCCCC5,CCCCCCC)C=O)ccccF)cc6
CccccC=CSC=S)NNS=O)=O)cccccc6))))))))C5=O)))))))cc6C,CCccccC)cC)c6
BrccBr)cccncNCCNCC6))))))n5CCC9))))))c6Br,CNCCNCC6
COcccncncNccccC)cO)c6)))))))c6cc%10OC,COcccncncC)c6cc%10OC
CCOC=O)CCcccccccCN)N))cc6c%10)))))))))))ccccOCCCNC5))))))cc6,CC=O)CCcccccccCN)N))cc6c%10)))))))))))ccccC)cc6
CNC)CCCCCC6NC=O)cccco5))))))cccccc6,CCCCCCC6NC)C
O=CCCl)=CNCCcc[nH]cccccc96))))))))))C=O)O))))C=O)cccccc6%10,CO
Cnnc-ccccC=O)NCCCO)CC6)))))))s5)))))cc5CF)F)F,CcccCF)F)F))nC)n5
NC=O)NO)CCOcccccc6)CCNCcccc-ccccF)cc6))))))cc6)))))))C6=O,Ccccccc6)CCNC)C6=O
COcccncNCCCNCCNC)CC6))))))))))nnc-cccccc6))))))nc5c9cc%13OC,CCCCNcncccOC))cOC))cc6cncC)nn%135
O=CCScnnnn5-cccccc6)))))))))))))NCCcccccc69,CC=O)CScnnnn5C
COcccccOC))c6CNCCCNC=O)CCCS))))))CC6,CNCCCNC)CC6
N#CCNC=O)CNC=O)cccccc6))))))))CCCCC6,CC=O)cccccc6
CNC)C=O)ccccncNccccNCCNCC6))))))cn6)))))))nc6n9CCCCC5.Cl,CNCCNCC6
Cnnccc5-ccccOccccS=O)=O)Ncnccs5)))))))cc6C#N)))))))))cc6,CccccSC)=O)=O))cc6C#N
CCccccOCC=O)NccccF)c[N+]=O)[O-]))c6))))))))))cc6,CNccccF)c[N+]=O)[O-]))c6
O=ccNCCCC5)))))cO)ccccnc6n%10-cccccc6,Ccccccc6
CCCNCCCCCCCCNC=O)Occcccc6)CC)CCNC)C5N8C)))))))))))))))))))))))CCC)O6,Ccccccc6)CC)CCNC)C5N8C
O=CO)CF)F)F.cccc-ccccNCCCNCC5C8))))))))nc6))))))cc6,CNCCCNCC5C8
CS=O)=O)NCCCcccc-cccnccnc6cNCCCNCCO6))))))))n%10))))))))))cc6))))))CC6,Ccccnccnc6cC)n%10
CCC)ncccS=O)=O)NC=O)Ncccccc6CCC5))))))CCC5))))))))))n5,CNcccccc6CCC5))))))CCC5
Ccccccc6NcnccccNC)C=O)C=CCNC)C)))))))cc6ncncc%135,CCCC)=O
O=CNCccccCl)cc6)))))))cccccc6C9O)cccccc6)OCCCO7,CNC=O)CO)cccccc6)OCCCO7))))))))))cccccc69
CNC)C=NccC#N))cnn5-ccccF)cCl)c6,CccccF)cCl)c6
C=CC=O)NCCCNccc-cccccNC=O)ccccNC)C))cc6))))))))c6C)))))))cnC)c6=O)))))))CC6,CNcccccC)c6C
CS=O)=O)NCC=O)NCCF)F)F))))))cccccc6Cl,Ccccccc6Cl
COCcnnCccccCnccccc6=O))))))))cc6)))))))cc5C=O)NCcncccOC))c6F,CCccccCC))cc6
CC=O)NccccO)cSCCNCC)=O)))C=O)O)))))c6,CNccccO)cSCCNC))CC)=O)))))c6
CNCCNcncncc6[nH]ccccCl)cc69)))))))))))))CC6,Ccncncc6[nH]ccccCl)cc69
CNC)CCCCCCOcccc-nccnc5)))))cc6.Cl.Cl,CccccC)cc6
CCC=O)Ncccccc6))))))CCCNCCO)ccccs5)))))))CC6.Cl,CCCC)=O
O=CO)cccccc6)C=O)NCCccccO)cc6)))))))C=O)O)))C5=O,CC=O)CC)CccccO)cc6
CCC)OCCCOccnccnnc-ccccOCF)F)))cc6))))))n95)))))))))))cccccc6))))))CO6,CCCcccccc6))))))COCC)C)OC6
CcccCF)F)F))nn5CC=O)Ncsccc5CN)=O)))CCCC6,CNcsccc5CN)=O)))CCCC6
[H]C[H])[H])C[H])[H])OC=O)cncnc5CNC)C=O)cccF)ccc6-%11,CC=O)cncnc5CNC)C=O)cccF)ccc6-%11
CCOC=O)ccscNcnccccF)cc6s9))))))))))n5,CcnccccF)cc6s9
CC=O)NC=NC=O)C=Ccccc-cccccCl)c6))))))o5))))))S5,CCccccC)o5
CNC)C=O)NCCCCCCCNCCNcccccCl)c6Cl)))))))CC6))))))))C6.Cl,CNCCNC)CC6
COcccccc[n+]cc6c%10OCCCOcccccc6))))))))))))))CCcccccc6-%10))OCO5,CCCCOccOC))ccccc[n+]cc%106))CCcccccc6-%10))OCO5
COC=O)cccccNC=O)CCOcccccc6O%10))))))))))))c6,CNcccccCC)=O))c6
O=c[nH]ccnc-ncnccccF)cc69)))))))))nc6n9CCCOCC6,Ccncc[nH]c=O)nC)c5n9
O=CO)cccc-cnoc-cccccCl)c6))))))n5)))))cc6,CC=O)ccccC)cc6
O=CNCCC3ccnc[nH]5)))))))))OCCCCCCC6,COCCCCCCC6
C=CC=O)NCCOccccc[nH]c-cn[nH]ccc-ccn[nH]c5)))))ccc96)))))))))cc95,CcccccC)n[nH]c5c9
ClccccCCNCccc-ccccncnn5c9)))))))))ccc6%10))))))))))cc6Cl,Ccccccc6)CNCC6ccccCl)cCl)c6
C=CCCO)CCC=CCCCC=O)O))))))))C5C=CC=O)CCCCC,C=CCCO)CCCC)))C5CC
CCC)C)OC=O)NCCNS=O)=O)ccccNC=O)C=CCl)))))cc6)))))))CC6,CNccccSC)=O)=O))cc6
[H]C[H])NCCOCC=O)O))))))C[H])[H])C[H])[H])NCcccccc6))))))ccccCl)cc6)))))))C6[H])[H],CCcccccc6))))))ccccCl)cc6
CCOC=O)C=CC)NC=S)NC6ccccOC))cOC))c6,COccccCNC=S)NCC)=C6CC)=O))))))))cc6OC
O=CO)ccnCCC3)))ccCl)cNCCCCCNC6C9)))))))))cF)cc6c%10=O,CC=O)ccnC)ccCl)cC)cF)cc6c%10=O
COccccC=CC=O)NCCOCC6))))))))ccccF)cc6)))))))cc6OC,COccccCC)ccccF)cc6)))))))cc6OC
O=CO)CCCNC=O)ccCl)cccc6Cl)))))))))C=O)O,CC=O)ccCl)cccc6Cl
CCC)CNC=O)ccc-ccccF)cc6))))))nn5CCCCCF)))))))))))))CN)=O,CccccF)cc6
CCOcccCC)=O))cc-ccC)noc5C))))))c6,CcnocC)c5C
cc[nH]cNccccNccccNcncc[nH]5))))))cc6)))))))cc6)))))))n5,Ccncc[nH]5
Cl.O=Cccc-ccccOCF)F)F)))cc6))))))ccc6OCCN%11Ccncccn6,Ccccccc6)C=O)NC)CCO7
O=CNCCccccI)cc6)))))))C=O)O))))OCCcccccc6-cccccc6%13,CNCCccccI)cc6)))))))CC)=O
COCCNCCNC=O)NccC)c-ccnnC)c5)))))nn5-cccccc6))))))))))))))CccccF)cc6))))))C5,CNCCNC)CC5ccccF)cc6
CNCCNCC=CC=O)NccccNccccCcccccn6)))))))cc6)))))))ncnc6cn%10)))))))))))))))CC6,CNccccC)ncnc6cn%10
COcccc-ccC)nncCF)F)F))ccC)nc96)))))))))cF)c6F,COccccC)cF)c6F
CCCOCCCccccCl)cc6))))))))Cnccnc5))))))O5,CCCCCccccCl)cc6))))))))OCCC)O5
OCcccco5)))))CCNCcccccc6))))))cccccc6)))))))CC6,CCcccccc6))))))cccccc6
O=CNCCccccF)cc6)))))))C=O)O))))OCCcccccc6-cccccc6%13,CCCcccccc6-cccccc6%13
CCN)C=O)Ncnccs5)CCcccccc6-%10,CNcnccs5)CCcccccc6-%10
CCCCCC=O)CCCC=O)CCO)C5CC=CCCCC=O)O,CCCCCC=O)CCCC=O)CCO)C5CCC
COccccCCC)NCCO)cccO)ccO)c6)))))))))))cccccc%106,COccccCCC)C)))cccccc%106
O=CNCCCNCcccccBr)c6)))))))CC6)))))))ccccccccc6c%10,CC=O)ccccccccc6c%10
C=CC=O)NCCCCnnc-cccccc6))))))ccN)ncnc69)))))))))C6,CcnnC)cncncN)c96
ccccNCCNCccn-cccccc6))))))nn5))))))CC6))))))cc6,CCccnC)nn5
COcccccc6CNC=O)ccncccccn6c%10=O,CC=O)ccncccccn6c%10=O
CCcncsccNCCNC)C)))))ncnc6c9cc%13CCCC6,CCcncsccC)ncnc6c9cc%13CCCC6
CNCCCC3Occcccccccc%106)))))))))))ccccs5,Ccccccccccc%106
N#CCccccCl)cc6))))))ccCl)cc-nncc=O)[nH]c6=O)))))))cc6Cl,CcccCl)cCC#N))ccccCl)cc6)))))))cCl)c6
Ccccc-cnncNC=O)cccccc6))))))))s5)))))cc6,CC=O)cccccc6
O=CCCccccO)cc6)))))))NC=O)CCcccccc6)))))))NC=O)OCcccccc6,CNCC=O))CccccO)cc6
COccccCCNC)CcccOCCCNCCOCC6))))))))))ccc6%10))))))))))cc6,COccccCCNC)CcccC)ccc6%10))))))))))cc6
CcncccNS=O)=O)cccccCl)c6C)))))))))ccc6s9,CccccscC)nc5c9
O=cccccn6-ccccNCCCCNcnccOCF)F)))cn6)))))))C5))))))nc6,CccccC)nc6
O=CNCcccccc6))))))))CCCCN5cncc=O)nCCO)))cCF)F)F))nc6s9,Ccncc=O)nC)cCF)F)F))nc6s9
Cc[nH]cC=CC=O)Nccc-cccccc6))))))ccc69))))))))))cC)c5CCC=O)O,Ccccccc6)NC=O)C5C
CCNC=O)C=O)CCccccs5))))))NC=O)CNC=O)CCCCCCCSS5)))))))))))CC)C,CCNC
N#CC=CCCC3))))C=O)NCCCCnnc-cccccCF)F)F))c6))))))ccN)ncnc69)))))))))C6,CcccccCF)F)F))c6
COccccCCC)NCC)CCCC)C))))))))cc6OC,COccccCCC)C)))cc6OC
O=S=O)Ncncccn6)))))))cccF)cOCCCNCCC6ccccCl)cc6))))))))))))))cc6F,CCCCNCCC6ccccCl)cc6
N=cnCCO)))cccccc6n9CCOccccF)cc6,CCCOccccF)cc6
CCOC=O)C=CCOCCC))CC))))CNCC)=O)))CN)C6,CCC)=O
COcccC)cS=O)=O)NC)CCOCC=O)NCCNCCCNC)CC6))))))CC6)))))))))))))cC)c6,COcccC)cSC)=O)=O))cC)c6
ccncc-cncNCCCCCC6)))))))cccccc6n%10))))))))))c6,CcncC)cccccc6n%10
O=S=O)ccccccccnc%106))))))))))NCCNcccccc6))))))CC6,CS=O)=O)ccccccccnc%106
Cccc=O)occcOCC=O)Ncccccc6CC9C)))))))))))))ccc%106,CcccccC)cc=O)oc6c%10
CCCOC=O)cscC=O)OCCC)))))cO)c5O,CCCOC
Cccccc-cncCS=O)CC=O)NCCCCCC6)))))))))))cC)o5)))))c6,CC=O)CS=O)CcncC)oc5C
O=CNCcccccc6))))))))ccccoc=O)cS=O)=O)cccccc6)))))))cc6c%10,CC=O)ccccoc=O)cS=O)=O)cccccc6)))))))cc6c%10
CC=O)NCC=O)NCCO)CC5C=O)NCcccc-cscnc5C))))))cc6)))))))))))))))CC)C)S,CNCccccC)cc6
[H]C[H])[H])NCC=CC=O)NccccNccccF)cCl)c6)))))))ncnc6cc%10OCCCOC5)))))))))))))))))))))C[H])[H])[H],CNccccC)ncnc6cc%10C
Fcccc-ccnccCCCCCC6N5)))))))c6))))))cc6,CccnccCCCCCC6N5)))))))c6
O=CNCccccCl)cc6))))))))ccO)cccccc6nc%10=O))CCC6,CC=O)ccO)cccccc6nc%10=O))CCC6
O=CcccccCl)c6Cl)))))))NCCCCC3)))))CCCNC5,CC=O)cccccCl)c6Cl
CC=O)NCCcc[nH]ccccOCCO))))cc96,CNCCcc[nH]ccccC)cc96
CccCncC)nnc=O)ccNCCOCC)C6))))))nc96))))))))))cccc6CF)F)F,CCcccccCF)F)F))c6C
[H]C[H])[H])NCCCCCCCC6C%10CccccO)cc6%14,CNCCCCCCCC6C%10CccccO)cc6%14
CNCCCncnc-ccccF)cc6))))))c5-cccncNCCO))))n6)))))))))))CC6,CccccF)cc6
NCCcc[nH]cccccc96))))))))))C=O)NCCC=O)Ncccncccccc%106)))))))CCCC6,CC=O)CN)Ccc[nH]cccccc96
CCcncC=CC=O)NC)ccccC=O)CCl)))cc69))))))))))cC)[nH]5.Cl,CCC=O)NC)ccccC=O)CCl)))cc69
COcccccNC=O)CScncn[nH]cC)c5c=N)n9-cccccc6C))))))))))))))))))))c6,Ccccccc6C
O=CNCCccccO)cc6)))))))C=O)O))))cccc-ccccCF)F)F))cc6))))))cc6,CccccCF)F)F))cc6
CCNCC))ccccNC=O)ccccs5)))))))cc6,CCNCC))ccccNC))cc6
C=CC=O)NcccccNC=O)NcccncNccccC=O)NCC))CC))))cc6OC)))))))))n6)))))))))c6,COcccCC)=O))ccc6C
CCCO))NC=O)ccc-ccccCl)cc6))))))nn-ccnnC)c5)))))c6=O,CC=O)cccC)nnC)c6=O
CCC)NC=O)ccccCl)cCl)c6)))))))CCCCCC6NC)C,CC=O)ccccCl)cCl)c6
CCNCC))C=O)CC=Ccccccc6ccn5C=O)CCC3))))))CC%10NC)C%14,CC=O)CC=Ccccccc6ccn5C)))CC%10NC)C%14
CccccCnncccNCCNcccccc6C)))))))CC6))))))ncnc69))))))))))cc6,CCccccC)cc6
CccccC=CCNCCCC5)))))))cccccC=CC=O)O))))n6)))))))cc6,CCC=CccccC)cc6))))))cccccCC))n6
CCC)CCNC=O)OCcccccc6))))))))))C=O)NCCcccccc6)))))))C=O)NCC=O))CCSC)=O,CNCCCC)C)))CC)=O
FCF)F)Occcc-cccnnccc5c9)))))))))cc6,Ccccnnccc5c9
COcccncNcccccc6C))))))))ccncn5c9cc%13NC=O)C=CCNC)C,CCCC)=O
CCC=O)NcccccNC=O)cccccc6Cl)))))))))c6,CC=O)cccccc6Cl
CNCCCncncn5))))))CCccccc[nH]ccc95)CC%11%15,CCCCCccccc[nH]ccc95)CC%11NC)C%15
COcccncncNccccF)cCl)c6)))))))c6cc%10NC=O)CCOC=O)N5,CNccccC)ncnc6cc%10OC
Clcccccc6)Ccccccc6Cl)))))))=NCcnnc-cccncc6))))))n5-%10,Ccnncn5-ccccCl)cc6Ccccccc6Cl)))))))=NC%11
CCC)cnccCO)CCCNCCNC=O)CNcncnccccCF)F)F))cc%106))))))))))))))C4))))CC6))))))s5,CcncnccccCF)F)F))cc%106
CS=O)=O)NcccCO)CNCCcccccc6)))))))ccccOCF)F)))cc6))))))))))ccc6O,CccccCC)Ccccccc6))))))))cc6
CCC)CNcccCl)cc[nH]ncc95)))))))))CCC6NC=O)NC5=O,CNCCCNC=O)NC5=O)))))CC)C)C6
COcccc-ccnc[nH]ccC#Cccccnc6))))))))c5c9)))))))))cc6OC,Cccnc[nH]ccC#Cccccnc6))))))))c5c9
O=CNcccncc6)))))))Ncccc-cncNCCOCC6))))))ncNCCCC5COC7))))))))n6))))))cc6,CNccccC)cc6
CccF)cccc6NC=O)NccccCl)cS=O)=O)CCCCNC6)))))))c6O,CNccccCl)cS=O)=O)CCCCNC6)))))))c6O
CCOC=O)NccccNCccccCl)cc6))))))))nc6N,CCccccCl)cc6
CNcccOcccC=O)NcccNCCNC)CC6))))))ccCF)F)F))c6))))))))ccc6C))))))))ncn6,CC=O)ccccC)cC)c6
O=CNCCCNC=O)C=CC5=O))))))))C=O)OCcccccc6)))))))))))OCcccccc6,CCcccccc6
Cl.Cl.O=S=O)ccccccnccc%106))))))))))NCCCNCC7,CS=O)=O)ccccccnccc%106
N#CCNC=O)CNC=O)cccc[N+]=O)[O-]))cF)c6))))))))CCCCC6,CC=O)cccc[N+]=O)[O-]))cF)c6
O=CCSccccCl)cc6))))))))NCCOCC6,CC=O)CSccccCl)cc6
C=CC=O)NCCNcccnccc-ccC)ccc[nH]ncc95)))))))))cCl)cc%106))))))))OCCC7C%11,Ccccc[nH]ncc5c9C
O=CNCCCCOCC6))))))))ccnccnnc-ccccOCF)F)))cc6))))))n95,CC=O)ccnccnncC)n95
O=S=O)cccccc6CN9cccF)ccOccccnc6)))))))c6,CNCcccccc6S9=O)=O
CCCCCC=O)CCCCO)CCO)C5CC=CCCCC=O)O,CCCCCC=O)CCCCO)CCO)C5CCC
Occcc-ccsc-cc[nH]cccccc96)))))))))n5)))))cc6O,CccccO)cO)c6
O=CNCCnnccn5))))))CF)F)CO)))))cccccF)c6-ccc-ccccF)cc6))))))n[nH]5,CC=O)cccccF)c6C
COccccncNC=O)C=O)CC=O)ccccCl)cc6)))))))))))sc5c9,CC=O)C=O)CC=O)ccccCl)cc6
CCOC=O)Ccnc-ccccCl)cc6))))))oc5-cccco5,CC=O)CcncC)oc5C
CC=O)NccccC=NccccCl)cc6OC%10))))))))))cc6,CNccccC=NccccCl)cc6OC%10))))))))))cc6
CCC)C)CNC=O)ccnCCCCCF))))))cccccc96)))))))))))C=O)O,CC=O)ccnC)cccccc96
CC=O)cccccNC=O)CNCCNS=O)=O)C=Ccccccc6)))))))))CC6)))))))))c6,CNcccccCC)=O))c6
CCCCCC)CCO)C=CCCO)CCC=CCCCCC=O)O))))))CC58,CCCCO)CCC=CCCCCCC)=O))))))CC58
CNC)CCC)C)OC=O)CO)cccccc6))))))cccccc6,CC=O)CO)cccccc6))))))cccccc6
CCCCCCCCCCCCCCCO)CO)CCO))NC=O)CCCCC,CCCCCCCCCCCCCCCO)CO)CCO))NC
CCNC=O)CCC3C)ccccCF)F)F))cc6)))))))))))cccF)cNSC)=O)=O)))cF)c6,CC=O)CCC3C)ccccCF)F)F))cc6
CCCccOCCCOcccccc6)OCC=O)O))CC6))))))))))))))cccCC)=O))c6OC,CCCCOcccccc6)OCCC)=O))CC6
CCC)C=O)Ncsccc5-cncccccc6[nH]9))))))))))CCCC6,CNcsccc5C))CCCC6
cccccc6)OCCCCNCCCCcccncNCCC3))))n6))))))C6))))))))O6,CCCCCOcccccc6O%10
CCCC)nc=N)cC=O)NCCCCCC6))))))))ccc=O)nccccc6nc%10%14,CNCCCCCC6
CCC)OC=O)CCC=CC=O)CCC6C)CCCCC)CCCC5CCC=O)O5)))))))C%146,CC=O)CCC=CC=O)CCC6C)CCCCC)CCCC5CCC=O)O5)))))))C%146
CCCCCCCF)C=CC=O)C=CC6C)C%10F)CO)CC%14C)C%17O)C=O)O,CC=O)CO)CC)CCCCCF)C=CC=O)C=CC6C)C%10F)CO)CC%14%17C
CCCCCccnC)cccC=O)NS=O)=O)CCC3))))))ccc96)))))))))C5,CC=O)cccccCCCCC)C5)))))cnC)c5c9
COccccS=O)=O)NCCCCNS=O)=O)ccccOCF)F)))cc6)))))))CC6)))))C4)))))cc6,COccccSC)=O)=O))cc6
COC=O)C=CC=O)NCCCCCCC6OC))COccO)cccc6C9%13CCNCCCC3))))C%17C8,CNCCCCCCC6OC))COccO)cccc6C9%13CCNC)C%17C8
CccccBOC=O)cncccc6O)))))))))ccccC)cCl)c6)))))))cc6Cl,CC=O)cncccc6O
CCCNCCCCC6)))))))C=O)ccccCO))cc6,CCCC)C=O)ccccCO))cc6
COcccC=CcncNCCCNC)C))))))cccccc6n%10))))))))))))ccOC))c6OC,CCcncC)cccccc6n%10
O=CccccF)cCl)c6))))))NCCCF)CNCCOcccccn6)))))))))))CC6,CC=O)ccccF)cCl)c6
CC=O)ccccC)cc6NCCN)=O))ccBr)cccc6Br,CC=O)ccccC)cc6C
CccC=O)C=Ccccccc6)))))))))[n+]=O)cccccc6n%10[O-],CCC=O)ccC)nC)cccccc6[n+]%10=O
Ncncccccc-ccccnccn5c9)))))))))cc%106,CccccccncN)c6c%10
CCCCC=O)O))))CCCCCCC=O)CCC=O)CCC6C)C%10CCC%17%14C,CC=O)CCCC)CCCCCCC=O)CCC=O)CCC6C)C%10CCC%17%14C
[H]C[H])CC=O)Ncnccccc-ccccCNCCS=O)=O)CC6)))))))cc6))))))n6n9)))))))))))C3[H])[H],CCccccC)cc6
O=ccccccc6sn9CCCCCCNCCCCC6,Cnscccccc6c9=O
C=CC=O)NCCNcncnccc-cccccc6O)))))))cCl)cc%106))))))))))CC6,CcccncncC)c6cc%10Cl
CNC=O)ccnccC=Ccccccc6C)))))))))c6,CCcccccc6C
C=CCOC=O)NCCC=O)O)))C=O)COcccccccc6cc%10-cncc[nH]5,Ccccccccc6cc%10C
COC=O)CNC=O)cnnCccccF)cc6)))))))cccccc96)))))))))))CC)C,CC=O)cnnC)cccccc96
CcccccCCNC=O)cccccc6C9C=O)NCccccOCF)F)F)))cc6))))))))))))))))))))n6,CC=O)Ccccccc6C=O)N9C
CCC=O)Ncccccc6))))))CCCNCC)Ccccccc6)OCC5))))))))))CC6,CCC)Ccccccc6)OCC5
O=CNCCCNC=O)CCl)))CC6)))))))cccCCC3)))on5,CC=O)cccCCC3)))on5
COccccNccBr)cccc6OCO5))))))))))ncnc6cc%10OCCCNCCOCC6,CCCCOcccncncC)c6cc%10OC
C=CC=O)Nccc-nc=O)ccC)ccncNccccNCCNC)CC6))))))cc6OC)))))))))nc6%10))))))))))ccc6C,CcncccC)cc=O)nC)c6n%10
CNCCCCC)O)cccccncNcccCF)F)F))ncc6F))))))))cc6n%10)))))))))))CC6,CcccncCC)O)CCCNC)CC6)))))))ccc6cn%10
N#CcccCNCCCNcncncscCl)cc95))))))))))CC6)))))))ccc6F.O=CO)C=CC=O)O,CCccccF)cC#N))c6
CNC=O)Ccccccc6))))))))CCNCCCC5))))))cccccc6.Cl,CC=O)Ccccccc6
CcccO)ccC)c6C=Cccncc-cnn[nH]n5)))))c6,CCccC)ccO)cc6C
O=CC=CNcccccc6Br))))))))))cccccn6,CC=CC=O)cccccn6
COccccNC=O)cccccccn6n9)))))))))))cc6,CC=O)cccccccn6n9
CcccC)ccCOcccccC)cCCC=O)O))))c=O)oc6c%10C)))))))))))))c6,CC=O)CCccC)ccccC)cC)c6oc%10=O
COCCCOCCN6C=S)SSC=S)NCCOCC6COC,COCCCOCCN6C
C=CCC)C)c[nH]cccccc6c9C=CNC=O)CC)NC6=O,C=CCC)C)c[nH]cccccc6c9CC
Cnnccc[nH]n-cccccF)c6))))))c=O)c5c-cccccCN)=O))c6))))))nc9%12,Ccncccnn5C))))c[nH]nC)c=O)c95
CCOcccccc6OCcccccc6))))))CCNCCO6.CS=O)=O)O,CCOcccccc6C
NccC=O)OCCCCCO5))))))))cncccccc6nc%10n%13-cccccc6)OCCO6,CC=O)ccN)nC)cncccccc6nc%13%10
O=CNcnn[nH]n5))))))NCCCNCcccccOccccCl)cc6)))))))c6)))))))CC5C8,CNCCCNC)CC5C8
CCCOCC=CCCC3)))))CF)F)F))cccccF)c6F)))))NC7=O,CCCCC3
CC=CCCO)CCCO))=CCCCC)C)C3OC=O)Ccccccc6)))))))))CCC)C7%12O)))))))))))C5=O,COCCCC)CO)CC=CCO))CCO)C=O)CC)=CC5%10))))))))C6C7C)C
CccccS=O)=O)Ccnc-ccccC=O)NCccccnc6)))))))))cc6))))))oc5C))))))))cc6,CccccS=O)=O)CcncC)oc5C))))))))cc6
Cnnccc5-cccccc6)C=O)CCCCNC=O)NCCC3cccccc6)))))))))))CC6)))))O6,CNCCC3cccccc6
Cl.NCcccncOcccccC=O)NCcccccccc6s9))))))))))))c6)))))))c6,CNCcccccccc6s9
cccc-ccscNN=CCCCCC6))))))))n5)))))cc6,Ccccccc6
O=CO)CCCC=CCCC=O)C=CC5C=CCO)COcccccc6,CCCCC=O)C=CC5CC
COcccc-ccscc5-ncccc5C8=O))))))))))))cc6O,COccccC)cc6O
N=CN)cccccOCCOCCOcccccC=N)N))c6)))))))COC85)))))))))c6,CcccccC=N)N))c6
O=CCCCcc-cnocCCC3)))n5)))))ncn5-cccccc6N%16%13,Ccncnc5CCCC=O)N5cccccc6-%13
O=CO)CCNC=O)cccccc6)C=O)NCCCCCNCC6))))))))C5,CC=O)cccccc6)C=O)NC)C5
COcccccc6-cncSCC=O)NccccC)cC)c6))))))))))n[nH]5,CNccccC)cC)c6
Occcc-cncNCCCCCC7)O5)))))))csccc5n9)))))))))cc6,CccccO)cc6
CCCcccC)[nH]c=O)c6CNC=O)ccc-ccccNCCNC)CC6))))))nc6))))))ncc6cnn5CC)C,CCCcccC)[nH]c=O)c6CNC
CCC=O)Ncccccc6))))))CCCCCC6NC)C,CCCCCCC6NC)C
C[S+]C)CC=O)CCCNC=O)CCcccccc6)))))))NC=O)OCcccccc6)))))))))))))C=O)O,CCcccccc6
CCOC=O)CC)CCC)C=O)Ncccccc6CC9C=O)O,CC=O)CCcccccc6N9C
Ccccc-nc=O)ccNCCNCcccccc6)))))))CC6))))))[nH]c6=O)))))))cc6,Cccc=O)nC)c=O)[nH]6
